IID,GID,rfunc,rparams,rseed,pathfunc,pparams,rfrac,rsize,numpaths,nodesinrunion,nodeavgfreqinrunion,transitinrunion,transitavgfreqinrunion,edgesinrunion,edgeavgfreqinrunion,edgemedfreqinrunion
I_2013-10-08_145,G_2013-10-08_7,rpermute,{'rfrac': 0.5},-2039659873375987862,shortestpaths,{},0.5,25,362,44,55.4090909091,36,34.3888888889,79,23.2658227848,21
I_2013-10-08_146,G_2013-10-08_7,rpermute,{'rfrac': 0.5},-2603978784431579451,shortestpaths,{},0.5,25,367,43,53.3953488372,36,30.4444444444,79,21.4683544304,19
I_2013-10-08_147,G_2013-10-08_7,rpermute,{'rfrac': 0.5},-322616221802575390,shortestpaths,{},0.5,25,360,42,55.4285714286,35,32.2285714286,75,23.04,19
I_2013-10-08_148,G_2013-10-08_8,rpermute,{'rfrac': 0.2},-6829641173149166660,shortestpaths,{},0.192307692308,10,51,32,10.3125,29,5.1724137931,47,5.10638297872,3
I_2013-10-08_149,G_2013-10-08_8,rpermute,{'rfrac': 0.2},8356592274312914895,shortestpaths,{},0.192307692308,10,56,35,10.1714285714,29,6.06896551724,61,4.3606557377,4
I_2013-10-08_150,G_2013-10-08_8,rpermute,{'rfrac': 0.2},-5357963978428541674,shortestpaths,{},0.192307692308,10,59,32,10.375,27,5.62962962963,52,4.65384615385,4.0
I_2013-10-08_151,G_2013-10-08_8,rpermute,{'rfrac': 0.25},-3236675510021572307,shortestpaths,{},0.25,13,88,38,15.4210526316,32,8.5625,61,7.04918032787,5
I_2013-10-08_152,G_2013-10-08_8,rpermute,{'rfrac': 0.25},-5503874077464494603,shortestpaths,{},0.25,13,107,43,14.9302325581,40,8.25,77,6.31168831169,4
I_2013-10-08_153,G_2013-10-08_8,rpermute,{'rfrac': 0.25},-5311661902082329135,shortestpaths,{},0.25,13,94,36,16.1666666667,32,8.4375,66,6.45454545455,6.0
I_2013-10-08_154,G_2013-10-08_8,rpermute,{'rfrac': 0.3},-4893251683866058098,shortestpaths,{},0.307692307692,16,146,45,20.8444444444,40,11.45,79,8.83544303797,6
I_2013-10-08_155,G_2013-10-08_8,rpermute,{'rfrac': 0.3},3608351540305886234,shortestpaths,{},0.307692307692,16,146,46,20.4782608696,40,11.55,88,7.97727272727,7.0
I_2013-10-08_156,G_2013-10-08_8,rpermute,{'rfrac': 0.3},2191758582458460970,shortestpaths,{},0.307692307692,16,155,46,21.7391304348,43,12.0930232558,86,8.83720930233,7.0
I_2013-10-08_157,G_2013-10-08_8,rpermute,{'rfrac': 0.35},2329371931481153315,shortestpaths,{},0.346153846154,18,194,45,25.4666666667,39,13.6923076923,89,9.43820224719,8
I_2013-10-08_158,G_2013-10-08_8,rpermute,{'rfrac': 0.35},5429112711423297872,shortestpaths,{},0.346153846154,18,182,41,28.487804878,36,15.4444444444,73,11.8082191781,10
I_2013-10-08_159,G_2013-10-08_8,rpermute,{'rfrac': 0.35},8805894633045636658,shortestpaths,{},0.346153846154,18,191,47,25.0212765957,44,12.8181818182,85,10.2352941176,9
I_2013-10-08_160,G_2013-10-08_8,rpermute,{'rfrac': 0.4},6004238220796533733,shortestpaths,{},0.403846153846,21,265,48,35.0833333333,44,19.1818181818,88,14.3636363636,11.5
I_2013-10-08_161,G_2013-10-08_8,rpermute,{'rfrac': 0.4},-2213764998691540862,shortestpaths,{},0.403846153846,21,255,46,36.1739130435,42,19.619047619,87,14.2988505747,12
I_2013-10-08_162,G_2013-10-08_8,rpermute,{'rfrac': 0.4},3148936843641810753,shortestpaths,{},0.403846153846,21,256,50,32.08,48,15.9166666667,98,12.0816326531,10.5
I_2013-10-08_163,G_2013-10-08_8,rpermute,{'rfrac': 0.45},-3670600767645673135,shortestpaths,{},0.442307692308,23,310,43,44.6046511628,39,23.2307692308,85,16.6117647059,15
I_2013-10-08_164,G_2013-10-08_8,rpermute,{'rfrac': 0.45},-6708494118954536129,shortestpaths,{},0.442307692308,23,306,47,40.170212766,43,20.3720930233,94,14.7021276596,12.0
I_2013-10-08_165,G_2013-10-08_8,rpermute,{'rfrac': 0.45},-7952189120665635278,shortestpaths,{},0.442307692308,23,313,47,41.8723404255,45,21.2444444444,95,15.3894736842,15
I_2013-10-08_166,G_2013-10-08_8,rpermute,{'rfrac': 0.5},766658522354113723,shortestpaths,{},0.5,26,407,50,51.12,46,27.3043478261,102,18.6862745098,19.0
I_2013-10-08_167,G_2013-10-08_8,rpermute,{'rfrac': 0.5},1304675055795486943,shortestpaths,{},0.5,26,400,49,51.8367346939,45,27.5555555556,99,19.0909090909,15
I_2013-10-08_168,G_2013-10-08_8,rpermute,{'rfrac': 0.5},7193691313588573821,shortestpaths,{},0.5,26,411,51,49.7254901961,49,25.2244897959,104,18.1346153846,16.0
I_2013-10-08_169,G_2013-10-08_9,rpermute,{'rfrac': 0.2},-766287033543901998,shortestpaths,{},0.203389830508,12,76,31,15.1612903226,26,7.92307692308,53,6.37735849057,5
I_2013-10-08_170,G_2013-10-08_9,rpermute,{'rfrac': 0.2},6085575498002504329,shortestpaths,{},0.203389830508,12,80,47,10.7234042553,41,5.85365853659,81,4.59259259259,4
I_2013-10-08_171,G_2013-10-08_9,rpermute,{'rfrac': 0.2},1578814919415061101,shortestpaths,{},0.203389830508,12,78,42,12.0,37,6.48648648649,71,5.23943661972,3
I_2013-10-08_172,G_2013-10-08_9,rpermute,{'rfrac': 0.25},3545187700516406635,shortestpaths,{},0.254237288136,15,131,47,17.1063829787,43,8.93023255814,87,6.8275862069,5
I_2013-10-08_173,G_2013-10-08_9,rpermute,{'rfrac': 0.25},-6726247628874457358,shortestpaths,{},0.254237288136,15,134,47,17.3617021277,40,9.9,89,6.80898876404,5
I_2013-10-08_174,G_2013-10-08_9,rpermute,{'rfrac': 0.25},4487235176465532677,shortestpaths,{},0.254237288136,15,127,45,17.6444444444,40,9.35,82,7.12195121951,6.0
I_2013-10-08_175,G_2013-10-08_9,rpermute,{'rfrac': 0.3},-8630605313674944559,shortestpaths,{},0.305084745763,18,192,55,22.5818181818,51,12.3529411765,106,8.83018867925,8.0
I_2013-10-08_176,G_2013-10-08_9,rpermute,{'rfrac': 0.3},3300614350611818320,shortestpaths,{},0.305084745763,18,185,55,21.9636363636,48,12.4166666667,105,8.59047619048,5
I_2013-10-08_177,G_2013-10-08_9,rpermute,{'rfrac': 0.3},5632445497354777877,shortestpaths,{},0.305084745763,18,188,53,23.7735849057,50,12.96,104,9.17307692308,7.5
I_2013-10-08_178,G_2013-10-08_9,rpermute,{'rfrac': 0.35},3294251400417922807,shortestpaths,{},0.35593220339,21,251,48,32.9583333333,46,16.1304347826,92,12.6304347826,10.5
I_2013-10-08_179,G_2013-10-08_9,rpermute,{'rfrac': 0.35},-7405651706652708751,shortestpaths,{},0.35593220339,21,266,54,31.962962963,51,17.3725490196,111,11.7657657658,9
I_2013-10-08_180,G_2013-10-08_9,rpermute,{'rfrac': 0.35},-180960516888497924,shortestpaths,{},0.35593220339,21,259,54,30.4444444444,52,15.4615384615,110,11.1272727273,10.0
I_2013-10-08_181,G_2013-10-08_9,rpermute,{'rfrac': 0.4},1609205861212527943,shortestpaths,{},0.406779661017,24,339,56,38.7857142857,51,20.9411764706,115,14.0869565217,12
I_2013-10-08_182,G_2013-10-08_9,rpermute,{'rfrac': 0.4},-8285321993800996113,shortestpaths,{},0.406779661017,24,327,53,38.9811320755,49,19.6326530612,109,13.8899082569,12
I_2013-10-08_183,G_2013-10-08_9,rpermute,{'rfrac': 0.4},4230154655036049536,shortestpaths,{},0.406779661017,24,338,57,39.4385964912,52,22.0,121,14.0165289256,11
I_2013-10-08_184,G_2013-10-08_9,rpermute,{'rfrac': 0.45},3091002203051736008,shortestpaths,{},0.457627118644,27,442,53,51.1320754717,51,25.6078431373,113,17.7699115044,16
I_2013-10-08_185,G_2013-10-08_9,rpermute,{'rfrac': 0.45},8061514155685569561,shortestpaths,{},0.457627118644,27,426,54,50.7037037037,50,26.68,112,18.1785714286,17.0
I_2013-10-08_186,G_2013-10-08_9,rpermute,{'rfrac': 0.45},3693741770703838094,shortestpaths,{},0.457627118644,27,424,57,49.6140350877,52,27.3846153846,115,18.4869565217,15
I_2013-10-08_187,G_2013-10-08_9,rpermute,{'rfrac': 0.5},-1820539431868059622,shortestpaths,{},0.508474576271,30,527,57,60.6666666667,52,33.0384615385,122,21.2131147541,18.0
I_2013-10-08_188,G_2013-10-08_9,rpermute,{'rfrac': 0.5},6298804625110661540,shortestpaths,{},0.508474576271,30,534,55,60.8,50,32.08,115,21.5130434783,21
I_2013-10-08_189,G_2013-10-08_9,rpermute,{'rfrac': 0.5},-4090026675330010624,shortestpaths,{},0.508474576271,30,531,58,59.7586206897,53,32.5660377358,122,21.2786885246,19.5
I_2013-10-08_190,G_2013-10-08_10,rpermute,{'rfrac': 0.2},8539932797176316509,shortestpaths,{},0.203125,13,96,37,15.2432432432,31,8.12903225806,67,6.08955223881,5
I_2013-10-08_191,G_2013-10-08_10,rpermute,{'rfrac': 0.2},-4340918638028681551,shortestpaths,{},0.203125,13,92,38,13.7894736842,32,6.625,71,5.18309859155,3
I_2013-10-08_192,G_2013-10-08_10,rpermute,{'rfrac': 0.2},5283574611098555099,shortestpaths,{},0.203125,13,100,45,13.6444444444,40,7.55,86,5.32558139535,3.0
I_2013-10-08_193,G_2013-10-08_10,rpermute,{'rfrac': 0.25},-6094511301108194112,shortestpaths,{},0.25,16,152,49,17.5102040816,41,9.21951219512,106,5.83018867925,4.5
I_2013-10-08_194,G_2013-10-08_10,rpermute,{'rfrac': 0.25},1964246267021860992,shortestpaths,{},0.25,16,152,45,18.3555555556,41,8.43902439024,90,6.51111111111,5.0
I_2013-10-08_195,G_2013-10-08_10,rpermute,{'rfrac': 0.25},-5082084928267868455,shortestpaths,{},0.25,16,158,49,18.2857142857,43,9.67441860465,106,6.18867924528,4.0
I_2013-10-08_196,G_2013-10-08_10,rpermute,{'rfrac': 0.3},3125175727292181877,shortestpaths,{},0.296875,19,213,47,26.3404255319,43,12.8837209302,102,8.78431372549,6.0
I_2013-10-08_197,G_2013-10-08_10,rpermute,{'rfrac': 0.3},-2735862609885552773,shortestpaths,{},0.296875,19,215,53,24.7169811321,44,14.2272727273,116,8.34482758621,6.0
I_2013-10-08_198,G_2013-10-08_10,rpermute,{'rfrac': 0.3},-3265425014783737335,shortestpaths,{},0.296875,19,217,49,25.0612244898,43,12.6511627907,109,8.12844036697,7
I_2013-10-08_199,G_2013-10-08_10,rpermute,{'rfrac': 0.35},-1823074210008278512,shortestpaths,{},0.34375,22,283,55,31.0545454545,47,16.6808510638,120,10.3833333333,7.0
I_2013-10-08_200,G_2013-10-08_10,rpermute,{'rfrac': 0.35},-8832811392723728466,shortestpaths,{},0.34375,22,301,55,30.9454545455,50,15.56,125,9.92,10
I_2013-10-08_201,G_2013-10-08_10,rpermute,{'rfrac': 0.35},2142294914436469776,shortestpaths,{},0.34375,22,275,53,31.2452830189,47,15.5744680851,118,10.1186440678,8.0
I_2013-10-08_202,G_2013-10-08_10,rpermute,{'rfrac': 0.4},503476928603705031,shortestpaths,{},0.40625,26,408,57,41.5789473684,51,20.9803921569,138,12.4637681159,11.0
I_2013-10-08_203,G_2013-10-08_10,rpermute,{'rfrac': 0.4},6859288859869624772,shortestpaths,{},0.40625,26,400,54,44.3333333333,49,22.3265306122,125,13.952,11
I_2013-10-08_204,G_2013-10-08_10,rpermute,{'rfrac': 0.4},8609678918097660551,shortestpaths,{},0.40625,26,414,58,40.3103448276,53,19.5849056604,144,11.7222222222,9.0
I_2013-10-08_205,G_2013-10-08_10,rpermute,{'rfrac': 0.45},5223134121090307582,shortestpaths,{},0.453125,29,504,59,49.8644067797,53,24.8679245283,139,15.3237410072,14
I_2013-10-08_206,G_2013-10-08_10,rpermute,{'rfrac': 0.45},-6079976331067294962,shortestpaths,{},0.453125,29,498,58,51.1379310345,54,24.8518518519,135,15.9555555556,12
I_2013-10-08_207,G_2013-10-08_10,rpermute,{'rfrac': 0.45},8181441411871911832,shortestpaths,{},0.453125,29,498,59,49.7627118644,53,24.7547169811,143,14.8531468531,13
I_2013-10-08_208,G_2013-10-08_10,rpermute,{'rfrac': 0.5},-7673306169012980930,shortestpaths,{},0.5,32,626,59,60.7796610169,55,29.1272727273,145,17.8896551724,16
I_2013-10-08_209,G_2013-10-08_10,rpermute,{'rfrac': 0.5},6275882902488399057,shortestpaths,{},0.5,32,613,57,64.4561403509,52,32.5,139,19.2949640288,17
I_2013-10-08_210,G_2013-10-08_10,rpermute,{'rfrac': 0.5},985866365988479471,shortestpaths,{},0.5,32,614,61,61.7704918033,52,34.3076923077,148,18.7567567568,16.0
I_2013-10-08_211,G_2013-10-08_11,rpermute,{'rfrac': 0.2},4374783103112356861,shortestpaths,{},0.2,14,116,48,15.5416666667,41,9.31707317073,84,6.71428571429,5.0
I_2013-10-08_212,G_2013-10-08_11,rpermute,{'rfrac': 0.2},7547172839633066009,shortestpaths,{},0.2,14,113,50,13.32,47,6.42553191489,91,5.31868131868,3
I_2013-10-08_213,G_2013-10-08_11,rpermute,{'rfrac': 0.2},-4302042090678234586,shortestpaths,{},0.2,14,113,50,14.04,47,7.1914893617,85,6.11764705882,3
I_2013-10-08_214,G_2013-10-08_11,rpermute,{'rfrac': 0.25},7043753326208673736,shortestpaths,{},0.257142857143,18,182,52,23.1538461538,46,12.8695652174,99,9.07070707071,7
I_2013-10-08_215,G_2013-10-08_11,rpermute,{'rfrac': 0.25},5966485450998605517,shortestpaths,{},0.257142857143,18,187,58,23.2068965517,54,13.5925925926,103,10.0970873786,7
I_2013-10-08_216,G_2013-10-08_11,rpermute,{'rfrac': 0.25},-9151029796419388782,shortestpaths,{},0.257142857143,18,190,58,20.8620689655,51,11.7254901961,114,7.9298245614,6.0
I_2013-10-08_217,G_2013-10-08_11,rpermute,{'rfrac': 0.3},2663641202142468566,shortestpaths,{},0.3,21,251,58,28.1724137931,53,14.9811320755,120,10.1166666667,9.0
I_2013-10-08_218,G_2013-10-08_11,rpermute,{'rfrac': 0.3},-4206826569377835786,shortestpaths,{},0.3,21,267,64,28.40625,56,17.4642857143,122,11.4590163934,9.0
I_2013-10-08_219,G_2013-10-08_11,rpermute,{'rfrac': 0.3},1040296237493920577,shortestpaths,{},0.3,21,273,56,29.4285714286,54,14.962962963,112,10.9642857143,9.0
I_2013-10-08_220,G_2013-10-08_11,rpermute,{'rfrac': 0.35},3229781709063036772,shortestpaths,{},0.357142857143,25,358,63,39.3968253968,57,22.4912280702,130,14.4769230769,11.0
I_2013-10-08_221,G_2013-10-08_11,rpermute,{'rfrac': 0.35},6129974921520413429,shortestpaths,{},0.357142857143,25,389,65,36.0923076923,62,18.4838709677,135,12.9333333333,11
I_2013-10-08_222,G_2013-10-08_11,rpermute,{'rfrac': 0.35},-7766796454273525422,shortestpaths,{},0.357142857143,25,373,66,39.0,59,23.2881355932,131,15.0687022901,14
I_2013-10-08_223,G_2013-10-08_11,rpermute,{'rfrac': 0.4},-4458355335260329141,shortestpaths,{},0.4,28,458,64,46.1875,59,24.4745762712,133,16.5413533835,13
I_2013-10-08_224,G_2013-10-08_11,rpermute,{'rfrac': 0.4},2319095834289122321,shortestpaths,{},0.4,28,476,64,47.1875,62,24.3225806452,135,16.7703703704,15
I_2013-10-08_225,G_2013-10-08_11,rpermute,{'rfrac': 0.4},7222914264631181912,shortestpaths,{},0.4,28,467,65,46.7692307692,61,25.0491803279,139,16.4316546763,15
I_2013-10-08_226,G_2013-10-08_11,rpermute,{'rfrac': 0.45},-2465233124760119255,shortestpaths,{},0.457142857143,32,601,67,59.3432835821,62,32.1290322581,141,21.1631205674,20
I_2013-10-08_227,G_2013-10-08_11,rpermute,{'rfrac': 0.45},-2329972651862736651,shortestpaths,{},0.457142857143,32,616,67,59.4328358209,63,31.7142857143,145,20.6206896552,18
I_2013-10-08_228,G_2013-10-08_11,rpermute,{'rfrac': 0.45},1269642150717322818,shortestpaths,{},0.457142857143,32,616,64,59.5625,62,29.4838709677,141,20.0,17
I_2013-10-08_229,G_2013-10-08_11,rpermute,{'rfrac': 0.5},-2563144921294357249,shortestpaths,{},0.5,35,747,66,74.0303030303,61,41.0819672131,142,26.0281690141,25.0
I_2013-10-08_230,G_2013-10-08_11,rpermute,{'rfrac': 0.5},1671922848906786057,shortestpaths,{},0.5,35,734,68,73.3529411765,63,41.3968253968,148,25.6621621622,24.0
I_2013-10-08_231,G_2013-10-08_11,rpermute,{'rfrac': 0.5},1412806163112123542,shortestpaths,{},0.5,35,740,64,73.125,61,37.7049180328,138,25.2898550725,21.5
I_2013-10-08_232,G_2013-10-08_12,rpermute,{'rfrac': 0.2},3500621411060575645,shortestpaths,{},0.202702702703,15,131,58,14.9310344828,52,8.57692307692,107,6.1308411215,5
I_2013-10-08_233,G_2013-10-08_12,rpermute,{'rfrac': 0.2},2098058063344698726,shortestpaths,{},0.202702702703,15,136,50,16.72,44,9.45454545455,91,6.87912087912,4
I_2013-10-08_234,G_2013-10-08_12,rpermute,{'rfrac': 0.2},4866669477651773593,shortestpaths,{},0.202702702703,15,128,52,16.5384615385,44,10.0,91,7.14285714286,5
I_2013-10-08_235,G_2013-10-08_12,rpermute,{'rfrac': 0.25},-5121266584803178573,shortestpaths,{},0.256756756757,19,203,56,23.6428571429,51,12.5490196078,113,8.69026548673,7
I_2013-10-08_236,G_2013-10-08_12,rpermute,{'rfrac': 0.25},-1905166346004656341,shortestpaths,{},0.256756756757,19,223,59,23.5593220339,50,14.12,119,8.80672268908,7
I_2013-10-08_237,G_2013-10-08_12,rpermute,{'rfrac': 0.25},4626557325989505733,shortestpaths,{},0.256756756757,19,211,61,22.0983606557,54,12.2962962963,120,8.38333333333,7.0
I_2013-10-08_238,G_2013-10-08_12,rpermute,{'rfrac': 0.3},-9183849701927607283,shortestpaths,{},0.297297297297,22,281,55,30.8727272727,52,14.8846153846,114,10.8421052632,9.5
I_2013-10-08_239,G_2013-10-08_12,rpermute,{'rfrac': 0.3},104619224804305590,shortestpaths,{},0.297297297297,22,303,70,26.2857142857,59,15.5254237288,142,9.70422535211,7.5
I_2013-10-08_240,G_2013-10-08_12,rpermute,{'rfrac': 0.3},3157006229189099600,shortestpaths,{},0.297297297297,22,281,69,28.6376811594,62,16.9677419355,143,10.5874125874,9
I_2013-10-08_241,G_2013-10-08_12,rpermute,{'rfrac': 0.35},8085695426479391815,shortestpaths,{},0.351351351351,26,424,68,38.6764705882,62,21.4516129032,144,13.75,11.5
I_2013-10-08_242,G_2013-10-08_12,rpermute,{'rfrac': 0.35},-2753248048029729990,shortestpaths,{},0.351351351351,26,400,69,37.4492753623,62,20.7096774194,145,13.3379310345,10
I_2013-10-08_243,G_2013-10-08_12,rpermute,{'rfrac': 0.35},-3048621988532620524,shortestpaths,{},0.351351351351,26,397,64,41.125,61,21.8360655738,130,15.2461538462,12.5
I_2013-10-08_244,G_2013-10-08_12,rpermute,{'rfrac': 0.4},-1333357072529726282,shortestpaths,{},0.405405405405,30,535,65,53.1692307692,60,28.6,139,18.6043165468,15
I_2013-10-08_245,G_2013-10-08_12,rpermute,{'rfrac': 0.4},-3934841336064690684,shortestpaths,{},0.405405405405,30,548,63,54.3174603175,58,29.0,127,20.094488189,16
I_2013-10-08_246,G_2013-10-08_12,rpermute,{'rfrac': 0.4},5959270710072479220,shortestpaths,{},0.405405405405,30,555,67,51.1343283582,61,27.6393442623,142,18.0,15.5
I_2013-10-08_247,G_2013-10-08_12,rpermute,{'rfrac': 0.45},-8690235097511204600,shortestpaths,{},0.445945945946,33,649,68,60.3235294118,64,31.09375,143,21.3006993007,18
I_2013-10-08_248,G_2013-10-08_12,rpermute,{'rfrac': 0.45},1988378739570114750,shortestpaths,{},0.445945945946,33,670,68,61.1470588235,65,31.4769230769,147,21.1020408163,20
I_2013-10-08_249,G_2013-10-08_12,rpermute,{'rfrac': 0.45},7001709914124188124,shortestpaths,{},0.445945945946,33,681,71,58.7887323944,67,30.776119403,152,20.5131578947,18.0
I_2013-10-08_250,G_2013-10-08_12,rpermute,{'rfrac': 0.5},-1255261012645756577,shortestpaths,{},0.5,37,851,70,72.6571428571,68,35.6176470588,153,24.5359477124,21
I_2013-10-08_251,G_2013-10-08_12,rpermute,{'rfrac': 0.5},2054537603780541078,shortestpaths,{},0.5,37,835,70,73.0571428571,68,36.0294117647,154,24.5584415584,22.5
I_2013-10-08_252,G_2013-10-08_12,rpermute,{'rfrac': 0.5},-313747563758307919,shortestpaths,{},0.5,37,847,68,74.7352941176,67,36.0895522388,150,25.0,25.0
I_2013-10-08_253,G_2013-10-08_13,rpermute,{'rfrac': 0.2},2594596004777775721,shortestpaths,{},0.20253164557,16,154,65,15.4461538462,59,8.8813559322,119,6.42016806723,5
I_2013-10-08_254,G_2013-10-08_13,rpermute,{'rfrac': 0.2},-7040888642128338940,shortestpaths,{},0.20253164557,16,154,63,15.746031746,58,8.8275862069,118,6.37288135593,5.0
I_2013-10-08_255,G_2013-10-08_13,rpermute,{'rfrac': 0.2},2226275696296682208,shortestpaths,{},0.20253164557,16,158,67,14.9552238806,57,9.15789473684,131,5.81679389313,5
I_2013-10-08_256,G_2013-10-08_13,rpermute,{'rfrac': 0.25},1223006461578243169,shortestpaths,{},0.253164556962,20,241,68,22.6176470588,61,12.7540983607,138,8.39130434783,7.0
I_2013-10-08_257,G_2013-10-08_13,rpermute,{'rfrac': 0.25},3389629281182930975,shortestpaths,{},0.253164556962,20,235,69,22.8695652174,61,13.4098360656,137,8.74452554745,6
I_2013-10-08_258,G_2013-10-08_13,rpermute,{'rfrac': 0.25},1905453919558802745,shortestpaths,{},0.253164556962,20,240,61,24.1639344262,55,12.9818181818,134,8.16417910448,8.0
I_2013-10-08_259,G_2013-10-08_13,rpermute,{'rfrac': 0.3},-7909872174195442667,shortestpaths,{},0.303797468354,24,350,70,32.2,66,17.4242424242,149,11.4228187919,9
I_2013-10-08_260,G_2013-10-08_13,rpermute,{'rfrac': 0.3},-4970214042961802485,shortestpaths,{},0.303797468354,24,342,72,31.3055555556,62,18.5483870968,145,11.7379310345,10
I_2013-10-08_261,G_2013-10-08_13,rpermute,{'rfrac': 0.3},7036274131310305640,shortestpaths,{},0.303797468354,24,346,68,32.1470588235,63,17.1746031746,141,11.5886524823,9
I_2013-10-08_262,G_2013-10-08_13,rpermute,{'rfrac': 0.35},1393802965070988869,shortestpaths,{},0.354430379747,28,484,70,42.8285714286,65,22.8615384615,148,15.1486486486,12.0
I_2013-10-08_263,G_2013-10-08_13,rpermute,{'rfrac': 0.35},1348783504973332993,shortestpaths,{},0.354430379747,28,480,73,42.1917808219,66,23.7575757576,154,15.0909090909,11.0
I_2013-10-08_264,G_2013-10-08_13,rpermute,{'rfrac': 0.35},-7842238953798571442,shortestpaths,{},0.354430379747,28,493,68,43.6764705882,64,22.78125,149,14.8590604027,13
I_2013-10-08_265,G_2013-10-08_13,rpermute,{'rfrac': 0.4},4015413331856667916,shortestpaths,{},0.405063291139,32,612,69,57.5942028986,63,31.5873015873,148,20.1486486486,18.0
I_2013-10-08_266,G_2013-10-08_13,rpermute,{'rfrac': 0.4},8770900101439412627,shortestpaths,{},0.405063291139,32,642,73,54.6849315068,67,29.9701492537,163,18.4049079755,16
I_2013-10-08_267,G_2013-10-08_13,rpermute,{'rfrac': 0.4},2042111888390667472,shortestpaths,{},0.405063291139,32,622,76,50.6842105263,70,26.6857142857,163,17.5460122699,14
I_2013-10-08_268,G_2013-10-08_13,rpermute,{'rfrac': 0.45},7651886347266245268,shortestpaths,{},0.455696202532,36,808,72,70.3611111111,66,38.5757575758,154,24.7142857143,19.0
I_2013-10-08_269,G_2013-10-08_13,rpermute,{'rfrac': 0.45},-8488457711249046277,shortestpaths,{},0.455696202532,36,789,75,66.7733333333,74,33.6216216216,169,22.1775147929,20
I_2013-10-08_270,G_2013-10-08_13,rpermute,{'rfrac': 0.45},4165629166331751063,shortestpaths,{},0.455696202532,36,789,76,66.6052631579,72,35.3055555556,172,22.1046511628,20.0
I_2013-10-08_271,G_2013-10-08_13,rpermute,{'rfrac': 0.5},2310645529032057839,shortestpaths,{},0.506329113924,40,990,75,82.72,72,42.8333333333,171,27.1578947368,24
I_2013-10-08_272,G_2013-10-08_13,rpermute,{'rfrac': 0.5},-8542312862603095407,shortestpaths,{},0.506329113924,40,998,77,82.9090909091,74,44.1081081081,173,27.8843930636,29
I_2013-10-08_273,G_2013-10-08_13,rpermute,{'rfrac': 0.5},8372621391150400070,shortestpaths,{},0.506329113924,40,998,71,85.2957746479,67,43.8208955224,161,27.9254658385,26
I_2013-10-08_274,G_2013-10-08_14,rpermute,{'rfrac': 0.2},8669693469290252496,shortestpaths,{},0.2,17,164,61,18.5245901639,57,10.2807017544,114,7.52631578947,5.0
I_2013-10-08_275,G_2013-10-08_14,rpermute,{'rfrac': 0.2},-3482753757540447319,shortestpaths,{},0.2,17,179,66,16.5151515152,56,9.75,132,6.19696969697,4.0
I_2013-10-08_276,G_2013-10-08_14,rpermute,{'rfrac': 0.2},-2840514105805975120,shortestpaths,{},0.2,17,173,65,17.3846153846,54,10.8518518519,131,6.54961832061,5
I_2013-10-08_277,G_2013-10-08_14,rpermute,{'rfrac': 0.25},8206796539414855605,shortestpaths,{},0.247058823529,21,270,71,24.4225352113,66,13.5454545455,146,9.0,7.0
I_2013-10-08_278,G_2013-10-08_14,rpermute,{'rfrac': 0.25},7785899457073316598,shortestpaths,{},0.247058823529,21,264,72,23.8611111111,66,13.303030303,157,8.26751592357,6
I_2013-10-08_279,G_2013-10-08_14,rpermute,{'rfrac': 0.25},438732469530442073,shortestpaths,{},0.247058823529,21,257,68,25.2647058824,60,14.6333333333,138,9.40579710145,7.0
I_2013-10-08_280,G_2013-10-08_14,rpermute,{'rfrac': 0.3},-8152272068481702087,shortestpaths,{},0.305882352941,26,415,78,33.5897435897,69,19.1304347826,170,11.5882352941,9.0
I_2013-10-08_281,G_2013-10-08_14,rpermute,{'rfrac': 0.3},-418392616305314242,shortestpaths,{},0.305882352941,26,404,73,34.3287671233,69,17.4782608696,162,11.4567901235,9.0
I_2013-10-08_282,G_2013-10-08_14,rpermute,{'rfrac': 0.3},2626812142306869215,shortestpaths,{},0.305882352941,26,409,78,34.0,71,19.0422535211,175,11.44,9
I_2013-10-08_283,G_2013-10-08_14,rpermute,{'rfrac': 0.35},9194794131745445527,shortestpaths,{},0.352941176471,30,549,77,45.8961038961,75,23.92,167,15.9520958084,12
I_2013-10-08_284,G_2013-10-08_14,rpermute,{'rfrac': 0.35},6994407820928136033,shortestpaths,{},0.352941176471,30,538,79,44.0,76,22.8421052632,175,14.8914285714,13
I_2013-10-08_285,G_2013-10-08_14,rpermute,{'rfrac': 0.35},4259134323311415879,shortestpaths,{},0.352941176471,30,568,82,44.5365853659,76,25.1578947368,184,15.1195652174,12.0
I_2013-10-08_286,G_2013-10-08_14,rpermute,{'rfrac': 0.4},6978716176912927550,shortestpaths,{},0.4,34,716,75,55.3866666667,72,26.5277777778,175,17.3257142857,14
I_2013-10-08_287,G_2013-10-08_14,rpermute,{'rfrac': 0.4},5431331045020132301,shortestpaths,{},0.4,34,735,79,58.8860759494,74,32.5405405405,175,20.1714285714,14
I_2013-10-08_288,G_2013-10-08_14,rpermute,{'rfrac': 0.4},5652083023692617147,shortestpaths,{},0.4,34,701,82,56.2926829268,77,30.8051948052,191,18.2931937173,16
I_2013-10-08_289,G_2013-10-08_14,rpermute,{'rfrac': 0.45},-2051263551816685494,shortestpaths,{},0.447058823529,38,876,79,70.1012658228,75,36.3466666667,185,22.3351351351,18
