IID,GID,rfunc,rparams,rseed,pathfunc,pparams,rfrac,rsize,numpaths,nodesinrunion,nodeavgfreqinrunion,transitinrunion,transitavgfreqinrunion,edgesinrunion,edgeavgfreqinrunion,edgemedfreqinrunion
I_2013-10-08_30,G_2013-10-08_2,rpermute,{'rfrac': 0.3},-6662188506936778107,shortestpaths,{},0.318181818182,7,25,14,9.42857142857,10,4.8,20,4.5,4.0
I_2013-10-08_31,G_2013-10-08_2,rpermute,{'rfrac': 0.35},-5516520745554694492,shortestpaths,{},0.363636363636,8,33,15,14.6666666667,12,9.0,20,8.2,8.0
I_2013-10-08_32,G_2013-10-08_2,rpermute,{'rfrac': 0.35},4782480272212010941,shortestpaths,{},0.363636363636,8,33,13,14.4615384615,9,8.44444444444,18,7.33333333333,6.0
I_2013-10-08_33,G_2013-10-08_2,rpermute,{'rfrac': 0.35},5554322118447586527,shortestpaths,{},0.363636363636,8,37,17,12.0,15,6.13333333333,26,5.69230769231,5.0
I_2013-10-08_34,G_2013-10-08_2,rpermute,{'rfrac': 0.4},529980344715023125,shortestpaths,{},0.409090909091,9,42,17,16.9411764706,13,11.0769230769,24,9.0,8.0
I_2013-10-08_35,G_2013-10-08_2,rpermute,{'rfrac': 0.4},4104225770190665970,shortestpaths,{},0.409090909091,9,41,16,16.375,11,10.7272727273,22,8.63636363636,7.5
I_2013-10-08_36,G_2013-10-08_2,rpermute,{'rfrac': 0.4},-6034611973678123694,shortestpaths,{},0.409090909091,9,42,18,14.4444444444,13,8.92307692308,26,7.23076923077,7.0
I_2013-10-08_37,G_2013-10-08_2,rpermute,{'rfrac': 0.45},628727615209819252,shortestpaths,{},0.454545454545,10,57,16,20.125,15,9.46666666667,23,10.0869565217,10
I_2013-10-08_38,G_2013-10-08_2,rpermute,{'rfrac': 0.45},6497832126322961744,shortestpaths,{},0.454545454545,10,55,19,18.3157894737,16,10.5,27,9.55555555556,8
I_2013-10-08_39,G_2013-10-08_2,rpermute,{'rfrac': 0.45},8447167577758752810,shortestpaths,{},0.454545454545,10,53,17,18.9411764706,13,10.9230769231,23,10.0869565217,11
I_2013-10-08_40,G_2013-10-08_2,rpermute,{'rfrac': 0.5},-7010570542728582670,shortestpaths,{},0.5,11,65,18,20.8888888889,14,11.1428571429,26,10.2307692308,8.5
I_2013-10-08_41,G_2013-10-08_2,rpermute,{'rfrac': 0.5},-930886619755592134,shortestpaths,{},0.5,11,66,20,20.8,15,13.0666666667,29,10.5517241379,10
I_2013-10-08_42,G_2013-10-08_2,rpermute,{'rfrac': 0.5},-2161808463111304293,shortestpaths,{},0.5,11,65,19,20.4210526316,15,11.2,29,9.58620689655,7
I_2013-10-08_43,G_2013-10-08_3,rpermute,{'rfrac': 0.2},-7914920221395121741,shortestpaths,{},0.214285714286,6,16,12,8.83333333333,8,5.75,16,4.75,4.0
I_2013-10-08_44,G_2013-10-08_3,rpermute,{'rfrac': 0.2},-1819964070782440501,shortestpaths,{},0.214285714286,6,16,14,7.57142857143,10,4.6,17,4.47058823529,4
I_2013-10-08_45,G_2013-10-08_3,rpermute,{'rfrac': 0.2},1864853405758884469,shortestpaths,{},0.214285714286,6,18,14,6.85714285714,11,3.27272727273,20,3.3,3.0
I_2013-10-08_46,G_2013-10-08_3,rpermute,{'rfrac': 0.25},-3518603930778186784,shortestpaths,{},0.25,7,25,19,8.73684210526,14,5.85714285714,29,4.27586206897,4
I_2013-10-08_47,G_2013-10-08_3,rpermute,{'rfrac': 0.25},9180248555184940149,shortestpaths,{},0.25,7,23,13,9.38461538462,10,3.8,17,4.70588235294,2
I_2013-10-08_48,G_2013-10-08_3,rpermute,{'rfrac': 0.25},8642559946694596958,shortestpaths,{},0.25,7,26,19,7.68421052632,15,4.13333333333,28,3.71428571429,3.0
I_2013-10-08_49,G_2013-10-08_3,rpermute,{'rfrac': 0.3},7810704046900154420,shortestpaths,{},0.285714285714,8,32,20,9.3,17,4.35294117647,31,4.1935483871,4
I_2013-10-08_50,G_2013-10-08_3,rpermute,{'rfrac': 0.3},-3196119778966667163,shortestpaths,{},0.285714285714,8,35,20,9.7,17,4.82352941176,30,4.6,4.0
I_2013-10-08_51,G_2013-10-08_3,rpermute,{'rfrac': 0.3},-5487555024722716041,shortestpaths,{},0.285714285714,8,31,22,9.81818181818,19,5.47368421053,30,5.33333333333,3.5
I_2013-10-08_52,G_2013-10-08_3,rpermute,{'rfrac': 0.35},6234403063904338161,shortestpaths,{},0.357142857143,10,54,21,16.380952381,18,9.11111111111,30,8.46666666667,6.5
I_2013-10-08_53,G_2013-10-08_3,rpermute,{'rfrac': 0.35},3321033806704381051,shortestpaths,{},0.357142857143,10,52,22,14.0909090909,18,7.22222222222,34,6.47058823529,4.0
I_2013-10-08_54,G_2013-10-08_3,rpermute,{'rfrac': 0.35},7093420295111971336,shortestpaths,{},0.357142857143,10,52,23,14.4347826087,18,8.44444444444,39,6.20512820513,6
I_2013-10-08_55,G_2013-10-08_3,rpermute,{'rfrac': 0.4},-4001066358877189317,shortestpaths,{},0.392857142857,11,67,25,15.92,20,8.9,45,6.4,7
I_2013-10-08_56,G_2013-10-08_3,rpermute,{'rfrac': 0.4},1694262715631056496,shortestpaths,{},0.392857142857,11,58,21,19.7142857143,18,10.7777777778,31,9.8064516129,9
I_2013-10-08_57,G_2013-10-08_3,rpermute,{'rfrac': 0.4},-2636992237795467628,shortestpaths,{},0.392857142857,11,65,22,16.8181818182,20,7.5,38,6.84210526316,6.0
I_2013-10-08_58,G_2013-10-08_3,rpermute,{'rfrac': 0.45},-7824896549303973513,shortestpaths,{},0.464285714286,13,87,23,23.4782608696,19,12.0,38,10.1052631579,9.5
I_2013-10-08_59,G_2013-10-08_3,rpermute,{'rfrac': 0.45},-7393717937528034817,shortestpaths,{},0.464285714286,13,94,24,24.0,20,13.2,41,10.243902439,8
